,billing_entity,model,set_no,train_mape,val_mape,test_mape,test_actual,test_predicted,one_month,third_month,two_month
951,Castle Medical Center,SARIMAX,5,3.07,2.74,1.33,[38516855.28000001 36757963.89000001 41294161.17      ],"[38818562.044462845, 37835682.22061829, 41181879.16807991]",0.78,0.27,2.93
952,Castle Medical Center,SARIMAX,6,3.11,1.55,1.91,[36757963.89000001 41294161.17       36096997.09000001],"[37711565.31675329, 41156620.73082813, 37107282.1536998]",2.59,2.8,0.33
953,Castle Medical Center,SARIMAX,7,3.26,1.58,5.14,[41294161.17       36096997.09000001 42457242.39000001],"[40838010.294050366, 37134782.92763154, 37595282.89163028]",1.1,11.45,2.87
954,Castle Medical Center,SARIMAX,8,2.92,0.86,6.2,[36096997.09000001 42457242.39000001 44074490.51000001],"[37612408.884320974, 37504424.11919125, 42863941.381030604]",4.2,2.75,11.67
955,Castle Medical Center,SARIMAX,9,3.15,3.08,8.41,[42457242.39000001 44074490.51000001 41991151.25      ],"[37527258.04851607, 42829454.814838134, 37454616.15222789]",11.61,10.8,2.82
956,Castle Medical Center,TBATS,1,4.2,4.3,6.61,[37972924.23       41063818.00000001 37660324.87      ],"[41864079.63388711, 39876131.16240137, 40182557.74603963]",10.25,6.7,2.89
957,Castle Medical Center,TBATS,2,4.44,1.08,4.57,[41063818.00000001 37660324.87       41964660.30999999],"[39840413.72212964, 39902363.64254285, 39964313.56295552]",2.98,4.77,5.95
958,Castle Medical Center,TBATS,3,4.18,2.65,3.45,[37660324.87       41964660.30999999 38516855.28000001],"[39364568.230688296, 39730516.70430598, 38318593.3981217]",4.53,0.51,5.32
959,Castle Medical Center,TBATS,4,4.04,4.12,3.69,[41964660.30999999 38516855.28000001 36757963.89000001],"[39851571.773600586, 37886360.33390438, 38376507.291238286]",5.04,4.4,1.64
960,Castle Medical Center,TBATS,5,4,6.1,5.09,[38516855.28000001 36757963.89000001 41294161.17      ],"[39285558.19531437, 40262257.39824311, 39744639.03316885]",2,3.75,9.53
961,Castle Medical Center,TBATS,6,4.03,5.43,7.74,[36757963.89000001 41294161.17       36096997.09000001],"[40104041.76466473, 39433974.97694247, 39571191.19893313]",9.1,9.62,4.5
962,Castle Medical Center,TBATS,7,4.08,6.14,6.59,[41294161.17       36096997.09000001 42457242.39000001],"[37910744.8374588, 37232286.68239446, 38875945.70213738]",8.19,8.44,3.15
963,Castle Medical Center,TBATS,8,4.19,5.12,5.98,[36096997.09000001 42457242.39000001 44074490.51000001],"[37616697.6841231, 39420232.6601723, 41170552.90783704]",4.21,6.59,7.15
964,Castle Medical Center,TBATS,9,3.82,5.15,7.9,[42457242.39000001 44074490.51000001 41991151.25      ],"[38802470.66337582, 40145146.93202559, 39401138.673696995]",8.61,6.17,8.92
965,Castle Medical Center,VARMAX,1,3.75,4.9,4.07,[37972924.23       41063818.00000001 37660324.87      ],"[39040851.71245531, 38528729.67227913, 38871782.34537057]",2.81,3.22,6.17
966,Castle Medical Center,VARMAX,2,3.47,8.45,8.01,[41063818.00000001 37660324.87       41964660.30999999],"[38418929.032798655, 38874547.1628849, 35935818.08701009]",6.44,14.37,3.22
967,Castle Medical Center,VARMAX,3,3.93,3.03,4.46,[37660324.87       41964660.30999999 38516855.28000001],"[38328957.672028854, 37502311.898907855, 38144424.449606806]",1.78,0.97,10.63
968,Castle Medical Center,VARMAX,4,3.9,2.97,4.04,[41964660.30999999 38516855.28000001 36757963.89000001],"[37753277.5689648, 38296567.665049024, 37310144.701973915]",10.04,1.5,0.57
969,Castle Medical Center,VARMAX,5,3.4,8.33,4.52,[38516855.28000001 36757963.89000001 41294161.17      ],"[38561286.05900728, 40958606.558491044, 40457516.129071124]",0.12,2.03,11.43
970,Castle Medical Center,VARMAX,6,3.79,5.7,5.14,[36757963.89000001 41294161.17       36096997.09000001],"[39489611.760305025, 40347965.3232922, 38152000.21292151]",7.43,5.69,2.29
971,Castle Medical Center,VARMAX,7,3.46,4.18,5.28,[41294161.17       36096997.09000001 42457242.39000001],"[39710384.693669915, 36675037.543394074, 38039618.19917857]",3.84,10.4,1.6
972,Castle Medical Center,VARMAX,8,3.55,4.94,6.28,[36096997.09000001 42457242.39000001 44074490.51000001],"[36184447.03359652, 38674347.16097819, 39801639.424068354]",0.24,9.69,8.91
973,Castle Medical Center,VARMAX,9,3.56,5.31,10.78,[42457242.39000001 44074490.51000001 41991151.25      ],"[37730258.02790562, 40059208.97518943, 36915696.59276687]",11.13,12.09,9.11
974,Castle Medical Center,VARMA,1,3.89,5.18,6.69,[37972924.23       41063818.00000001 37660324.87      ],"[39506479.55230514, 37690371.809452526, 40601786.448749594]",4.04,7.81,8.22
975,Castle Medical Center,VARMA,2,3.61,2.39,8.59,[41063818.00000001 37660324.87       41964660.30999999],"[38047112.89156464, 40142119.60825796, 37004217.75255936]",7.35,11.82,6.59
976,Castle Medical Center,VARMA,3,3.64,4.92,9.75,[37660324.87       41964660.30999999 38516855.28000001],"[41927778.21710428, 38058986.69205722, 41833117.73926962]",11.33,8.61,9.31
977,Castle Medical Center,VARMA,4,3.51,6.94,6.46,[41964660.30999999 38516855.28000001 36757963.89000001],"[35971039.8068139, 38611236.21966615, 34970530.01459181]",14.28,4.86,0.25
978,Castle Medical Center,VARMA,5,3.42,9.35,3.03,[38516855.28000001 36757963.89000001 41294161.17      ],"[39898650.66921144, 38085297.549840964, 40509514.12447897]",3.59,1.9,3.61
979,Castle Medical Center,VARMA,6,3.38,7.48,4.39,[36757963.89000001 41294161.17       36096997.09000001],"[38136925.80410474, 37708252.923715726, 36358349.60089278]",3.75,0.72,8.68
980,Castle Medical Center,VARMA,7,3.43,3.87,7.17,[41294161.17       36096997.09000001 42457242.39000001],"[38339477.48790325, 36716752.308306314, 37088097.36086425]",7.16,12.65,1.72
981,Castle Medical Center,VARMA,8,3.89,3.19,7.91,[36096997.09000001 42457242.39000001 44074490.51000001],"[36623357.38705078, 37699826.738077216, 39199982.56247306]",1.46,11.06,11.21
982,Castle Medical Center,VARMA,9,3.83,3.67,12.98,[42457242.39000001 44074490.51000001 41991151.25      ],"[37119120.0877991, 38327234.7306102, 36400596.600590676]",12.57,13.31,13.04
983,Castle Medical Center,Holt Winter's,1,2.92,5.73,4.86,[37972924.23       41063818.00000001 37660324.87      ],"[39737990.63732702, 40569064.72984111, 40948219.217605375]",4.65,8.73,1.2
984,Castle Medical Center,Holt Winter's,2,3.03,4.89,6.1,[41063818.00000001 37660324.87       41964660.30999999],"[39487133.174658574, 39142051.6788264, 37550028.24762757]",3.84,10.52,3.93
985,Castle Medical Center,Holt Winter's,3,2.72,6.34,4.75,[37660324.87       41964660.30999999 38516855.28000001],"[40028208.90296091, 38768463.17559034, 38646804.2254125]",6.29,0.34,7.62
986,Castle Medical Center,Holt Winter's,4,2.76,4.75,5.47,[41964660.30999999 38516855.28000001 36757963.89000001],"[37606405.799412236, 37359011.738339365, 35645372.58375902]",10.39,3.03,3.01
987,Castle Medical Center,Holt Winter's,5,2.83,5.96,2.49,[38516855.28000001 36757963.89000001 41294161.17      ],"[39117631.71960819, 37673926.66092153, 39879730.22377143]",1.56,3.43,2.49
988,Castle Medical Center,Holt Winter's,6,2.81,4.68,4.12,[36757963.89000001 41294161.17       36096997.09000001],"[37382248.950625025, 38993021.86056044, 37933339.72046272]",1.7,5.09,5.57
989,Castle Medical Center,Holt Winter's,7,2.89,4.02,6.17,[41294161.17       36096997.09000001 42457242.39000001],"[38990554.43535973, 38144716.8944027, 39373239.18920232]",5.58,7.26,5.67
990,Castle Medical Center,Holt Winter's,8,2.98,2.95,5.27,[36096997.09000001 42457242.39000001 44074490.51000001],"[38170190.81944064, 38877491.45359162, 43357495.286035314]",5.74,1.63,8.43
991,Castle Medical Center,Holt Winter's,9,2.9,4.15,6.55,[42457242.39000001 44074490.51000001 41991151.25      ],"[38701424.45468513, 43300531.21073686, 38193766.291871935]",8.85,9.04,1.76
992,Castle Medical Center,PROPHET,1,3.41,4.68,10.63,[37972924.23       41063818.00000001 37660324.87      ],"[41740597.47644363, 43110433.3308719, 44052149.85528141]",9.92,16.97,4.98
993,Castle Medical Center,PROPHET,2,3.39,7.21,5.37,[41063818.00000001 37660324.87       41964660.30999999],"[41545832.72964667, 42160919.049003065, 43223197.03855524]",1.17,3,11.95
994,Castle Medical Center,PROPHET,3,3.44,4.87,7.88,[37660324.87       41964660.30999999 38516855.28000001],"[42453691.15233273, 43706584.61549857, 41124098.42077783]",12.73,6.77,4.15
995,Castle Medical Center,PROPHET,4,3.2,11.69,6.35,[41964660.30999999 38516855.28000001 36757963.89000001],"[40953239.240977645, 42328662.15039267, 39241775.36840281]",2.41,6.76,9.9
996,Castle Medical Center,PROPHET,5,3.38,5.36,8.66,[38516855.28000001 36757963.89000001 41294161.17      ],"[42961931.45734072, 40318497.870432675, 39330285.405625224]",11.54,4.76,9.69
997,Castle Medical Center,PROPHET,6,3.12,8.78,6.21,[36757963.89000001 41294161.17       36096997.09000001],"[38599545.05171631, 38079726.03285228, 38198411.44777176]",5.01,5.82,7.78
998,Castle Medical Center,PROPHET,7,3.26,6.41,8.5,[41294161.17       36096997.09000001 42457242.39000001],"[37449357.92753868, 36452645.19389914, 36000431.47224941]",9.31,15.21,0.99
999,Castle Medical Center,PROPHET,8,3.28,8.58,8.67,[36096997.09000001 42457242.39000001 44074490.51000001],"[36939671.02659226, 37349844.518899456, 38937031.31137094]",2.33,11.66,12.03
1000,Castle Medical Center,PROPHET,9,3.4,5.8,14.45,[42457242.39000001 44074490.51000001 41991151.25      ],"[36254951.20985354, 35710575.60422121, 37885446.47083573]",14.61,9.78,18.98
1001,Castle Physician Network Clinics,SARIMA,1,11.46,11.11,5.74,[208701.38 239848.78 255352.23],"[230173.55356505862, 226430.02133236305, 258732.75622466215]",10.29,1.32,5.59
1002,Castle Physician Network Clinics,SARIMA,2,11.77,7.63,27.47,[239848.78 255352.23 419269.96],"[198132.96317929545, 212797.3607590987, 216535.06116071244]",17.39,48.35,16.67
1003,Castle Physician Network Clinics,SARIMA,3,11.6,8.66,30.31,[255352.23 419269.96 344709.34],"[230423.26905558477, 224015.7085116806, 225441.13900179463]",9.76,34.6,46.57
1004,Castle Physician Network Clinics,SARIMA,4,11.2,6.11,34.9,[419269.96 344709.34 385157.97],"[252770.2369620981, 249697.8860363958, 241058.76892367378]",39.71,37.41,27.56
1005,Castle Physician Network Clinics,SARIMA,5,10.23,24.24,9.24,[344709.34 385157.97 320548.32],"[373144.5498152822, 342570.14427382697, 293618.702773705]",8.25,8.4,11.06
1006,Castle Physician Network Clinics,SARIMA,6,10.84,21.68,11.57,[385157.97 320548.32 373645.89],"[337771.31644748163, 378716.56582883175, 389567.6497494898]",12.3,4.26,18.15
1007,Castle Physician Network Clinics,SARIMA,7,9.72,31.45,14.93,[320548.32 373645.89 345919.72],"[371397.4414897688, 415068.19252731965, 407651.70309090463]",15.86,17.85,11.09
1008,Castle Physician Network Clinics,SARIMA,8,10.41,9.75,9.52,[373645.89 345919.72 494251.24],"[362647.90810106497, 346187.096343512, 368057.4209588369]",2.94,25.53,0.08
1009,Castle Physician Network Clinics,SARIMAX,1,11.7,7.41,11.65,[208701.38 239848.78 255352.23],"[228959.95522779328, 224989.74918762618, 206732.83322526523]",9.71,19.04,6.2
1010,Castle Physician Network Clinics,SARIMAX,2,11.53,8.73,28.96,[239848.78 255352.23 419269.96],"[205686.85140213007, 191597.77999582153, 219374.11593058164]",14.24,47.68,24.97
1011,Castle Physician Network Clinics,SARIMAX,3,10.7,7.86,29.69,[255352.23 419269.96 344709.34],"[213804.47809613013, 244801.18032936804, 237224.23266146082]",16.27,31.18,41.61
1012,Castle Physician Network Clinics,SARIMAX,4,9.9,9.19,24.36,[419269.96 344709.34 385157.97],"[255709.6555293477, 297447.4989537539, 306749.9833193954]",39.01,20.36,13.71
1013,Castle Physician Network Clinics,SARIMAX,5,10.91,14.92,6.97,[344709.34 385157.97 320548.32],"[358245.99334698793, 366586.511445972, 359494.18175504345]",3.93,12.15,4.82
1014,Castle Physician Network Clinics,SARIMAX,6,10.33,23.81,7.75,[385157.97 320548.32 373645.89],"[345221.80966850877, 302041.64908331493, 347085.06002638035]",10.37,7.11,5.77
1015,Castle Physician Network Clinics,SARIMAX,7,9.16,23.03,10.26,[320548.32 373645.89 345919.72],"[296677.05837726616, 310432.74839397956, 323724.70760835067]",7.45,6.42,16.92
1016,Castle Physician Network Clinics,SARIMAX,8,11.57,10.54,8.78,[373645.89 345919.72 494251.24],"[356378.75234969176, 345480.6939431862, 387574.9760866432]",4.62,21.58,0.13
1017,Castle Physician Network Clinics,TBATS,1,19.99,7.61,7.18,[208701.38 239848.78 255352.23],"[231861.78320518008, 233611.92868882636, 235360.37814552616]",11.1,7.83,2.6
1018,Castle Physician Network Clinics,TBATS,2,15.16,10.27,26.23,[239848.78 255352.23 419269.96],"[212444.09408913623, 211082.26082854482, 209901.08263537116]",11.43,49.94,17.34
1019,Castle Physician Network Clinics,TBATS,3,14.91,8.22,30.25,[255352.23 419269.96 344709.34],"[227512.84552098764, 227314.53392232736, 227329.02228094285]",10.9,34.05,45.78
1020,Castle Physician Network Clinics,TBATS,4,15.22,7.89,34.41,[419269.96 344709.34 385157.97],"[249632.74077015044, 249632.74077015044, 249632.74077015044]",40.46,35.19,27.58
1021,Castle Physician Network Clinics,TBATS,5,14.11,26.71,11.18,[344709.34 385157.97 320548.32],"[303972.86143487477, 309057.22182307165, 314235.02768870787]",11.82,1.97,19.76
1022,Castle Physician Network Clinics,TBATS,6,14.27,33.09,8.34,[385157.97 320548.32 373645.89],"[348780.3085637849, 347659.62060500146, 347106.21951266954]",9.44,7.1,8.46
1023,Castle Physician Network Clinics,TBATS,7,14.15,31.69,13.57,[320548.32 373645.89 345919.72],"[384296.31368012255, 392371.2866945691, 400660.16135985806]",19.89,15.82,5.01
1024,Castle Physician Network Clinics,TBATS,8,15.45,5.42,12.31,[373645.89 345919.72 494251.24],"[345174.7204636613, 350184.42328455666, 355449.33823681995]",7.62,28.08,1.23
1025,Castle Physician Network Clinics,VARMAX,1,46.58,7.77,11.46,[208701.38 239848.78 255352.23],"[205962.62773617846, 226923.69903220586, 184709.94461823406]",1.31,27.66,5.39
1026,Castle Physician Network Clinics,VARMAX,2,15.26,18.17,30.59,[239848.78 255352.23 419269.96],"[213853.87698652447, 187868.42714684733, 190800.2147308944]",10.84,54.49,26.43
1027,Castle Physician Network Clinics,VARMAX,3,13.32,14.62,39.08,[255352.23 419269.96 344709.34],"[201566.35799445675, 201388.42133476658, 192331.14680210952]",21.06,44.2,51.97
1028,Castle Physician Network Clinics,VARMAX,4,12.57,16.08,38.7,[419269.96 344709.34 385157.97],"[238920.92656905347, 227458.9041192193, 234712.03291205948]",43.02,39.06,34.01
1029,Castle Physician Network Clinics,VARMAX,5,11.77,32.74,14.77,[344709.34 385157.97 320548.32],"[313485.8491597254, 297423.5064758868, 280599.8543285476]",9.06,12.46,22.78
1030,Castle Physician Network Clinics,VARMAX,6,12.83,39.43,35.61,[385157.97 320548.32 373645.89],"[275954.20241221756, 204684.94307180145, 215427.45313429766]",28.35,42.34,36.15
1031,Castle Physician Network Clinics,VARMAX,7,12.41,38.03,25.33,[320548.32 373645.89 345919.72],"[286102.8117308598, 254019.14591944357, 231012.93910436492]",10.75,33.22,32.02
1032,Castle Physician Network Clinics,VARMAX,8,15.97,13.24,23.92,[373645.89 345919.72 494251.24],"[309797.17644766247, 297045.83894318173, 293913.57842467783]",17.09,40.53,14.13
1033,Castle Physician Network Clinics,VARMA,1,54.13,8.1,8.19,[208701.38 239848.78 255352.23],"[241847.9066708956, 239775.31201962056, 233279.8705385821]",15.88,8.64,0.03
1034,Castle Physician Network Clinics,VARMA,2,16.46,11.78,26.19,[239848.78 255352.23 419269.96],"[216198.8585389474, 209958.27311217584, 205778.7420407833]",9.86,50.92,17.78
1035,Castle Physician Network Clinics,VARMA,3,15.86,8.73,28.25,[255352.23 419269.96 344709.34],"[241129.8985076838, 232102.7516850269, 225602.3287418386]",5.57,34.55,44.64
1036,Castle Physician Network Clinics,VARMA,4,15.26,9.2,38.6,[419269.96 344709.34 385157.97],"[241860.3093687461, 234746.60586059242, 225018.14553689494]",42.31,41.58,31.9
1037,Castle Physician Network Clinics,VARMA,5,14.1,26.85,13.06,[344709.34 385157.97 320548.32],"[351179.6160055681, 310955.3232250258, 262753.6545166753]",1.88,18.03,19.27
1038,Castle Physician Network Clinics,VARMA,6,15.02,30.42,41.88,[385157.97 320548.32 373645.89],"[272928.40172943316, 186605.76099583635, 169197.97717752884]",29.14,54.72,41.79
1039,Castle Physician Network Clinics,VARMA,7,14.09,36.55,13.71,[320548.32 373645.89 345919.72],"[317798.1843263835, 306764.2145689097, 268487.1669248038]",0.86,22.38,17.9
1040,Castle Physician Network Clinics,VARMA,8,19.34,5.26,25.54,[373645.89 345919.72 494251.24],"[311146.8746257554, 290296.58528802457, 277663.7627987492]",16.73,43.82,16.08
1041,Castle Physician Network Clinics,Holt Winter's,1,15.66,8.33,6.05,[208701.38 239848.78 255352.23],"[238271.9322156615, 243886.97444130215, 249502.0166669428]",14.17,2.29,1.68
1042,Castle Physician Network Clinics,Holt Winter's,2,11.97,10.59,26.21,[239848.78 255352.23 419269.96],"[233764.47103429414, 201934.42756999208, 187894.75908433064]",2.54,55.19,20.92
1043,Castle Physician Network Clinics,Holt Winter's,3,11.64,14.82,36.61,[255352.23 419269.96 344709.34],"[204172.89735376107, 193153.65232483516, 221107.0628869405]",20.04,35.86,53.93
1044,Castle Physician Network Clinics,Holt Winter's,4,11.08,10.04,35.37,[419269.96 344709.34 385157.97],"[207492.20898982315, 250531.8502016406, 276207.0754223528]",50.51,28.29,27.32
1045,Castle Physician Network Clinics,Holt Winter's,5,11.87,25.56,19.6,[344709.34 385157.97 320548.32],"[421106.04987877235, 420653.572385196, 408400.0159373413]",22.16,27.41,9.22
1046,Castle Physician Network Clinics,Holt Winter's,6,11.93,30.07,6.33,[385157.97 320548.32 373645.89],"[385809.2181447948, 366056.46536902327, 390897.51117985963]",0.17,4.62,14.2
1047,Castle Physician Network Clinics,Holt Winter's,7,11.29,34.38,42.1,[320548.32 373645.89 345919.72],"[406824.3043652639, 467478.43474896456, 602809.6720577825]",26.92,74.26,25.11
1048,Castle Physician Network Clinics,Holt Winter's,8,13.83,7.84,14.28,[373645.89 345919.72 494251.24],"[338776.0321294012, 338788.4855505112, 338798.6270228278]",9.33,31.45,2.06
1049,Castle Physician Network Clinics,PROPHET,1,19.8,12.08,6.12,[208701.38 239848.78 255352.23],"[230364.60420573206, 243463.59937815514, 271851.54578816274]",10.38,6.46,1.51
1050,Castle Physician Network Clinics,PROPHET,2,11.02,6.19,18.28,[239848.78 255352.23 419269.96],"[257358.8007621111, 257604.29753498436, 223616.0630753114]",7.3,46.67,0.88
1051,Castle Physician Network Clinics,PROPHET,3,10.38,11,20.68,[255352.23 419269.96 344709.34],"[245664.68013766035, 275408.42497536505, 262205.97677966184]",3.79,23.93,34.31
1052,Castle Physician Network Clinics,PROPHET,4,10.51,6.73,35.49,[419269.96 344709.34 385157.97],"[267016.79496164236, 237281.6523394119, 234947.47981957387]",36.31,39,31.16
1053,Castle Physician Network Clinics,PROPHET,5,10.31,18.21,20.26,[344709.34 385157.97 320548.32],"[306844.49498161173, 262102.97171078977, 263378.8428856537]",10.98,17.83,31.95
1054,Castle Physician Network Clinics,PROPHET,6,9.13,19.84,18.5,[385157.97 320548.32 373645.89],"[294290.44441014895, 293579.3144954875, 285863.48687144613]",23.59,23.49,8.41
1055,Castle Physician Network Clinics,PROPHET,7,8.97,35.59,10.91,[320548.32 373645.89 345919.72],"[309883.86840014294, 309099.0128747648, 303966.9108739939]",3.33,12.13,17.27
1056,Castle Physician Network Clinics,PROPHET,8,8.82,15.57,13.76,[373645.89 345919.72 494251.24],"[339623.60055865365, 349608.1233632003, 340435.1481097905]",9.11,31.12,1.07
1057,Castle RHC Clinics,SARIMA,1,10.85,8.38,7.71,[97269.28 87304.22 84955.34],"[86025.26039116152, 91085.88053526435, 91102.83390364089]",11.56,7.24,4.33
1058,Castle RHC Clinics,SARIMA,2,9.19,5.88,10.39,[87304.22 84955.34 82838.35],"[94876.11560469752, 96694.21979233377, 90032.3075062757]",8.67,8.68,13.82
1059,Castle RHC Clinics,SARIMA,3,9.4,6.74,6.46,[84955.34 82838.35 89802.95],"[94195.51413597981, 84657.05383241747, 84135.30981631074]",10.88,6.31,2.2
1060,Castle RHC Clinics,SARIMA,4,9.02,6.17,7.06,[82838.35 89802.95 85699.09],"[80340.41266722574, 78354.72610075197, 81058.85421934385]",3.02,5.41,12.75
1061,Castle RHC Clinics,SARIMA,5,8.55,8.21,6.78,[ 89802.95  85699.09 100791.44],"[79143.24917248245, 82797.32951934147, 95675.55917196293]",11.87,5.08,3.39
1062,Castle RHC Clinics,SARIMA,6,9.81,3.54,4.92,[ 85699.09 100791.44  91487.4 ],"[91312.38702971357, 102770.82776201924, 97212.23941203005]",6.55,6.26,1.96
1063,Castle RHC Clinics,SARIMAX,1,10.08,3.3,8.52,[97269.28 87304.22 84955.34],"[98050.97176930784, 95336.65432094657, 98176.87198765672]",0.8,15.56,9.2
1064,Castle RHC Clinics,SARIMAX,2,9.92,3.23,11.13,[87304.22 84955.34 82838.35],"[94461.71194272493, 101662.84869213073, 87404.91661480055]",8.2,5.51,19.67
1065,Castle RHC Clinics,SARIMAX,3,8.55,3.72,10.24,[84955.34 82838.35 89802.95],"[95013.74597852021, 78328.71160344957, 77726.77973584074]",11.84,13.45,5.44
1066,Castle RHC Clinics,SARIMAX,4,7,8.53,7.31,[82838.35 89802.95 85699.09],"[78529.4418936579, 76323.25654298767, 87158.92068835306]",5.2,1.7,15.01
1067,Castle RHC Clinics,SARIMAX,5,6.58,7.92,9.56,[ 89802.95  85699.09 100791.44],"[79152.8896236904, 89355.78646816366, 88143.94527906568]",11.86,12.55,4.27
1068,Castle RHC Clinics,SARIMAX,6,6.29,7.2,7.41,[ 85699.09 100791.44  91487.4 ],"[99067.93888855321, 100604.429480476, 85583.7333222875]",15.6,6.45,0.19
1069,Castle RHC Clinics,TBATS,1,23.9,14.07,7.23,[97269.28 87304.22 84955.34],"[94009.77910118103, 94007.15021076426, 94005.04709846852]",3.35,10.65,7.68
1070,Castle RHC Clinics,TBATS,2,22.16,5.86,19.15,[87304.22 84955.34 82838.35],"[99592.96981487157, 101240.20872785144, 102889.63404552285]",14.08,24.21,19.17
1071,Castle RHC Clinics,TBATS,3,11.18,19.92,23.71,[84955.34 82838.35 89802.95],"[69431.99014392054, 65718.9082954757, 60883.18147768362]",18.27,32.2,20.67
1072,Castle RHC Clinics,TBATS,4,12.09,7.48,4.34,[82838.35 89802.95 85699.09],"[83416.6222663952, 81730.3159967024, 82835.71714708304]",0.7,3.34,8.99
1073,Castle RHC Clinics,TBATS,5,10.45,14.4,15.45,[ 89802.95  85699.09 100791.44],"[76148.15431580789, 73536.05720326371, 83718.0924936606]",15.21,16.94,14.19
1074,Castle RHC Clinics,TBATS,6,9.98,22.2,8.2,[ 85699.09 100791.44  91487.4 ],"[80021.92446736862, 88802.78452809468, 97038.85710141565]",6.62,6.07,11.89
1075,Castle RHC Clinics,VARMAX,1,11.39,23.1,3.81,[97269.28 87304.22 84955.34],"[94927.61375878383, 81830.40031022434, 87302.49969246394]",2.41,2.76,6.27
1076,Castle RHC Clinics,VARMAX,2,17.43,21.02,2.83,[87304.22 84955.34 82838.35],"[91865.42477849517, 87270.98592679463, 83293.95707582281]",5.22,0.55,2.73
1077,Castle RHC Clinics,VARMAX,3,22.43,6.17,17.14,[84955.34 82838.35 89802.95],"[91753.2726071244, 97861.09814319976, 112509.84346531895]",8,25.29,18.14
1078,Castle RHC Clinics,VARMAX,4,10.54,5.42,18,[82838.35 89802.95 85699.09],"[97990.59284126123, 105238.85286017631, 101563.35085209027]",18.29,18.51,17.19
1079,Castle RHC Clinics,VARMAX,5,10.84,4.62,7.68,[ 89802.95  85699.09 100791.44],"[100605.16070951607, 82758.05597945872, 93143.0229440065]",12.03,7.59,3.43
1080,Castle RHC Clinics,VARMAX,6,9.57,14.99,10.05,[ 85699.09 100791.44  91487.4 ],"[91087.20116094754, 92073.21607396677, 77557.930884642]",6.29,15.23,8.65
1081,Castle RHC Clinics,VARMA,1,10.01,23.62,6.32,[97269.28 87304.22 84955.34],"[83259.15758791262, 87703.3022298062, 88449.48504389245]",14.4,4.11,0.46
1082,Castle RHC Clinics,VARMA,2,23.04,11.95,1.87,[87304.22 84955.34 82838.35],"[86551.02038940006, 83429.68238608577, 85289.62829941254]",0.86,2.96,1.8
1083,Castle RHC Clinics,VARMA,3,26.4,14.66,5.74,[84955.34 82838.35 89802.95],"[85163.81771606533, 93100.75849933822, 85686.73461908795]",0.25,4.58,12.39
1084,Castle RHC Clinics,VARMA,4,12.59,8.33,5.71,[82838.35 89802.95 85699.09],"[91497.5958307273, 93745.28521267111, 83735.42832479191]",10.45,2.29,4.39
1085,Castle RHC Clinics,VARMA,5,13.52,1.69,8.34,[ 89802.95  85699.09 100791.44],"[89141.67886516843, 81000.49835475005, 81849.30042753408]",0.74,18.79,5.48
1086,Castle RHC Clinics,VARMA,6,13.05,6.38,17.13,[ 85699.09 100791.44  91487.4 ],"[81021.18090975798, 76070.49375265233, 71906.07072232619]",5.46,21.4,24.53
1087,Castle RHC Clinics,Holt Winter's,1,14.63,10.45,5.31,[97269.28 87304.22 84955.34],"[87780.8416061424, 92180.74783011484, 84465.189466565]",9.75,0.58,5.59
1088,Castle RHC Clinics,Holt Winter's,2,9.91,8.3,15.33,[87304.22 84955.34 82838.35],"[103166.1300754416, 97016.71629561648, 94130.99558240203]",18.17,13.63,14.2
1089,Castle RHC Clinics,Holt Winter's,3,10.03,6.15,5.33,[84955.34 82838.35 89802.95],"[84899.24817834572, 79884.84088276033, 78716.8123499884]",0.07,12.34,3.57
1090,Castle RHC Clinics,Holt Winter's,4,6.38,5.99,11.9,[82838.35 89802.95 85699.09],"[76781.60185712171, 72493.34401518367, 77895.3067473548]",7.31,9.11,19.28
1091,Castle RHC Clinics,Holt Winter's,5,6.59,5.6,11.94,[ 89802.95  85699.09 100791.44],"[78376.10069993402, 82101.9731628308, 119837.90552936828]",12.72,18.9,4.2
1092,Castle RHC Clinics,Holt Winter's,6,6.65,11.18,16.22,[ 85699.09 100791.44  91487.4 ],"[91315.95244826478, 129646.4025119786, 103826.60970754079]",6.55,13.49,28.63
1093,Castle RHC Clinics,PROPHET,1,14.99,11.2,27.73,[97269.28 87304.22 84955.34],"[128918.2770045127, 112218.74028992176, 103744.5870673923]",32.54,22.12,28.54
1094,Castle RHC Clinics,PROPHET,2,12.62,17.66,23.93,[87304.22 84955.34 82838.35],"[118759.56317017176, 106526.28061213814, 91425.42833829089]",36.03,10.37,25.39
1095,Castle RHC Clinics,PROPHET,3,11.56,32.77,7.97,[84955.34 82838.35 89802.95],"[92273.43613874774, 88555.3945386554, 82259.51202938931]",8.61,8.4,6.9
1096,Castle RHC Clinics,PROPHET,4,9.23,18.41,9.34,[82838.35 89802.95 85699.09],"[91744.52980107088, 78500.77725897059, 81685.05217167015]",10.75,4.68,12.59
1097,Castle RHC Clinics,PROPHET,5,9.25,15.1,15.8,[ 89802.95  85699.09 100791.44],"[73878.78558556405, 72209.59339854124, 86763.70092970718]",17.73,13.92,15.74
1098,Castle RHC Clinics,PROPHET,6,8.24,3.33,10.67,[ 85699.09 100791.44  91487.4 ],"[78688.52947047474, 82706.96557299233, 96870.6251895054]",8.18,5.88,17.94
